Customer ID,Gender,Age,Annual Income in K$,Spending Points (1-100)
15101,Male,19,15,39
15102,Male,21,15,81
15103,Female,20,16,6
15104,Female,23,16,77
15105,Female,31,17,40
15106,Female,22,17,76
15107,Female,35,18,6
15108,Female,23,18,94
15109,Male,64,19,3
15110,Female,30,19,72
15111,Male,67,19,14
15112,Female,35,19,99
15113,Female,58,20,15
15114,Female,24,20,77
15115,Male,37,20,13
15116,Male,22,20,79
15117,Female,35,21,35
15118,Male,20,21,66
15119,Male,52,23,29
15120,Female,35,23,98
15121,Male,35,24,35
15122,Male,25,24,73
15123,Female,46,25,5
15124,Male,31,25,73
15125,Female,54,28,14
15126,Male,29,28,82
15127,Female,45,28,32
15128,Male,35,28,61
15129,Female,40,29,31
15130,Female,23,29,87
15131,Male,60,30,4
15132,Female,21,30,73
15133,Male,53,33,4
15134,Male,18,33,92
15135,Female,49,33,14
15136,Female,21,33,81
15137,Female,42,34,17
15138,Female,30,34,73
15139,Female,36,37,26
15140,Female,20,37,75
15141,Female,65,38,35
15142,Male,24,38,92
15143,Male,48,39,36
15144,Female,31,39,61
15145,Female,49,39,28
15146,Female,24,39,65
15147,Female,50,40,55
15148,Female,27,40,47
15149,Female,29,40,42
15150,Female,31,40,42
15151,Female,49,42,52
15152,Male,33,42,60
15153,Female,31,43,54
15154,Male,59,43,60
15155,Female,50,43,45
15156,Male,47,43,41
15157,Female,51,44,50
15158,Male,69,44,46
15159,Female,27,46,51
15160,Male,53,46,46
15161,Male,70,46,56
15162,Male,19,46,55
15163,Female,67,47,52
15164,Female,54,47,59
15165,Male,63,48,51
15166,Male,18,48,59
15167,Female,43,48,50
15168,Female,68,48,48
15169,Male,19,48,59
15170,Female,32,48,47
15171,Male,70,49,55
15172,Female,47,49,42
15173,Female,60,50,49
15174,Female,60,50,56
15175,Male,59,54,47
15176,Male,26,54,54
15177,Female,45,54,53
15178,Male,40,54,48
15179,Female,23,54,52
15180,Female,49,54,42
15181,Male,57,54,51
15182,Male,38,54,55
15183,Male,67,54,41
15184,Female,46,54,44
15185,Female,21,54,57
15186,Male,48,54,46
15187,Female,55,57,58
15188,Female,22,57,55
15189,Female,34,58,60
15190,Female,50,58,46
15191,Female,68,59,55
15192,Male,18,59,41
15193,Male,48,60,49
15194,Female,40,60,40
15195,Female,32,60,42
15196,Male,24,60,52
15197,Female,47,60,47
15198,Female,27,60,50
15199,Male,48,61,42
15200,Male,20,61,49
15201,Female,23,62,41
15202,Female,49,62,48
15203,Male,67,62,59
15204,Male,26,62,55
15205,Male,49,62,56
15206,Female,21,62,42
15207,Female,66,63,50
15208,Male,54,63,46
15209,Male,68,63,43
15210,Male,66,63,48
15211,Male,65,63,52
15212,Female,19,63,54
15213,Female,38,64,42
15214,Male,19,64,46
15215,Female,18,65,48
15216,Female,19,65,50
15217,Female,63,65,43
15218,Female,49,65,59
15219,Female,51,67,43
15220,Female,50,67,57
15221,Male,27,67,56
15222,Female,38,67,40
15223,Female,40,69,58
15224,Male,39,69,91
15225,Female,23,70,29
15226,Female,31,70,77
15227,Male,43,71,35
15228,Male,40,71,95
15229,Male,59,71,11
15230,Male,38,71,75
15231,Male,47,71,9
15232,Male,39,71,75
15233,Female,25,72,34
15234,Female,31,72,71
15235,Male,20,73,5
15236,Female,29,73,88
15237,Female,44,73,7
15238,Male,32,73,73
15239,Male,19,74,10
15240,Female,35,74,72
15241,Female,57,75,5
15242,Male,32,75,93
15243,Female,28,76,40
15244,Female,32,76,87
15245,Male,25,77,12
15246,Male,28,77,97
15247,Male,48,77,36
15248,Female,32,77,74
15249,Female,34,78,22
15250,Male,34,78,90
15251,Male,43,78,17
15252,Male,39,78,88
15253,Female,44,78,20
15254,Female,38,78,76
15255,Female,47,78,16
15256,Female,27,78,89
15257,Male,37,78,1
15258,Female,30,78,78
15259,Male,34,78,1
15260,Female,30,78,73
15261,Female,56,79,35
15262,Female,29,79,83
15263,Male,19,81,5
15264,Female,31,81,93
15265,Male,50,85,26
15266,Female,36,85,75
15267,Male,42,86,20
15268,Female,33,86,95
15269,Female,36,87,27
15270,Male,32,87,63
15271,Male,40,87,13
15272,Male,28,87,75
15273,Male,36,87,10
15274,Male,36,87,92
15275,Female,52,88,13
15276,Female,30,88,86
15277,Male,58,88,15
15278,Male,27,88,69
15279,Male,59,93,14
15280,Male,35,93,90
15281,Female,37,97,32
15282,Female,32,97,86
15283,Male,46,98,15
15284,Female,29,98,88
15285,Female,41,99,39
15286,Male,30,99,97
15287,Female,54,101,24
15288,Male,28,101,68
15289,Female,41,103,17
15290,Female,36,103,85
15291,Female,34,103,23
15292,Female,32,103,69
15293,Male,33,113,8
15294,Female,38,113,91
15295,Female,47,120,16
15296,Female,35,120,79
15297,Female,45,126,28
15298,Male,32,126,74
15299,Male,32,137,18
15300,Male,30,137,83
